Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number	Number_uncertain	Number_with_conflicts
A-GAMMA3'E	109951028	5	5	-	-	-	1	0
A1BG	1	60	60	43	-	138670	45	0
A1BG-AS1	503538	25	25	-	-	-	14	0
A1CF	29974	48	48	28	1	618199	26	0
A2M	2	138	132	102	-	103950	64	0
A2M-AS1	144571	11	11	-	-	-	1	0
A2ML1	144568	2464	1607	2425	2	610627	772	84
A2ML1-AS1	100874108	273	176	-	1	-	82	0
A2ML1-AS2	106478979	1	1	1	1	-	-	-
A3GALT2	127550	13	13	2	-	619850	2	0
A4GALT	53947	142	130	96	6	607922	54	0
A4GNT	51146	43	43	21	-	616709	21	0
AAAS	8086	625	478	613	90	605378	102	24
AACS	65985	77	77	55	-	614364	50	0
AADAC	13	50	48	26	-	600338	27	0
AADACL2	344752	39	39	19	-	-	21	0
AADACL2-AS1	101928142	64	62	-	-	-	51	0
AADACL3	126767	64	64	18	4	-	26	0
AADACL4	343066	84	84	37	1	-	40	0
AADAT	51166	64	64	6	-	611754	9	0
AAGAB	79719	134	106	106	20	614888	40	3
AAK1	22848	51	51	36	-	616405	39	0
AAMDC	28971	39	39	3	-	620474	30	0
AAMP	14	42	41	15	-	603488	17	0
AANAT	15	39	39	25	-	600950	20	0
AAR2	25980	28	28	19	1	617365	17	0
AARD	441376	61	61	7	-	-	8	0
AARS1	16	2086	1435	2035	76	601065	705	67
AARS2	57505	863	577	850	56	612035	237	44
AARSD1	80755	45	45	38	-	613212	38	0
AASDH	132949	81	79	57	-	614365	55	0
AASDHPPT	60496	45	45	22	-	607756	27	0
AASS	10157	246	217	217	21	605113	95	1
AATBC	284837	49	44	-	-	-	2	0
AATF	26574	182	173	44	-	608463	53	0
AATK	9625	144	144	125	1	605276	116	0
ABALON	103021294	8	8	-	-	616018	1	0
ABAT	18	954	795	870	46	137150	364	33
ABCA1	19	2299	1442	2256	53	600046	467	112
ABCA10	10349	108	108	92	1	612508	89	0
ABCA12	26154	1848	1496	1815	158	607800	229	99
ABCA13	154664	442	421	419	4	607807	300	5
ABCA2	20	463	412	390	11	600047	212	1
ABCA3	21	2155	1592	2110	110	601615	379	107
ABCA4	24	7767	4053	7745	1301	601691	944	302
ABCA5	23461	168	156	154	5	612503	92	0
ABCA6	23460	119	119	102	1	612504	95	0
ABCA7	10347	369	337	325	14	605414	180	7
ABCA8	10351	118	116	102	-	612505	91	1
ABCA9	10350	114	114	98	1	612507	91	0
ABCA9-AS1	104355297	14	14	-	-	-	8	0
ABCB1	5243	733	702	709	3	171050	50	1
ABCB10	23456	83	81	43	-	605454	42	0
ABCB11	8647	2318	1551	2294	283	603201	260	118
ABCB4	5244	1493	943	1451	146	171060	280	75
ABCB5	340273	118	118	81	-	611785	77	0
ABCB6	10058	300	218	264	8	605452	107	5
ABCB7	22	420	338	276	11	300135	65	5
ABCB8	11194	133	132	56	-	605464	50	0
ABCB9	23457	74	74	55	-	605453	53	0
ABCC1	4363	498	484	135	14	158343	204	1
ABCC10	89845	122	122	94	-	612509	105	0
ABCC11	85320	136	134	114	-	607040	90	0
ABCC12	94160	108	106	87	-	607041	76	0
